キー,日本語,繁体字中国語,繁体字中国語修正依頼
addToSelectedSetlists,選択したセットリストに追加,添加至所選曲目清單,
createNewSetlist,新しいセットリストを作成,創建新曲目清單,
enterSetlistName,セットリスト名を入力,輸入曲目清單名稱,
songsAddedToSetlist,曲がセットリストに追加されました。,歌曲已添加至曲目清單。,
failedToAddSongs,曲の追加に失敗しました。,添加歌曲失敗。,
pleaseEnterSetlistName,セットリスト名を入力してください。,請輸入曲目清單名稱。,
newSetlistCreatedAndSongsAdded,新しいセットリストが作成され、曲が追加されました。,已創建新曲目清單並添加歌曲。,
failedToCreateNewSetlist,新しいセットリストの作成に失敗しました。,創建新曲目清單失敗。,
columnDisplaySettings,列の表示設定,欄位顯示設定,
done,完了,完成,
addedDate,追加日,添加日期,
actions,操作,操作,
noSongsRegistered,まだ曲が登録されていません,尚未註冊歌曲,
notRegistered,未登録,未註冊,
notSet,未設定,未設置,
edit,編集,編輯,
delete,削除,刪除,
simplePricingPlans,シンプルな料金プラン,簡單定價方案,
twoPlansToChooseFrom,あなたのニーズに合わせて選べる2つのプラン,根據您的需求選擇兩種方案,
freePlan,フリープラン,免費方案,
premiumPlan,Premiumプラン,高級方案,
perMonth,/月,/月,
maxSongsRegistration,最大登録曲数{{count}}曲,最多可註冊{{count}}首歌曲,
unlimitedAutoSetlistCreation,セトリ自動作成無制限,無限自動創建曲目清單,
publicListsCount,公開リスト{{count}}個,{{count}}個公開清單,
playlistCreationLimit,再生リスト作成回数 {{count}}回/月,播放列表創建次數 {{count}}次/月,
setlistsLimit,セットリスト数 {{count}}個,曲目清單數量 {{count}}個,
startHere,まずはここから！,從這裡開始！,
allFeaturesOfFreePlan,無料プランの全ての機能,免費方案的所有功能,
unlimitedSongsRegistration,登録曲数無制限,無限歌曲註冊,
unlimitedPlaylistCreation,再生リスト作成回数 無制限,無限播放列表創建,
unlimitedSetlists,セットリスト数 無制限,無限曲目清單,
allSingingToolsAvailable,全ての歌枠ツール利用可能（リクエスト・ルーレット機能含む）,所有歌唱直播工具可用（包括請求和輪盤功能）,
recommendedForStreamers,歌枠配信者におすすめ！,推薦給歌唱直播主！,
allPlansCancelAnytime,すべてのプランは、いつでもキャンセル可能です。,所有方案均可隨時取消。,
contactUsForQuestions,ご不明な点がございましたら、お気軽にお問い合わせください。,如有任何疑問，請隨時聯繫我們。,
freeTrialInProgress,無料トライアル中,免費試用中,
currentlyUsing,現在利用中,當前使用中,
upgradeToPremiumPlan,プレミアムプランに移行する,升級至高級方案,
upgradeToPremiumPlanWithFreeTrial,プレミアムプランに移行する（30日間無料）,升級至高級方案（30天免費）,
startWithPremiumPlanWithFreeTrial,プレミアムプランで始める（30日間無料）,使用高級方案開始（30天免費）,
startForFree,無料で始める,免費開始,
loginRequired,ログインが必要です。,需要登錄。,
furiganaKatakanaOnly,フリガナはカタカナのみで入力してください。,拼音備註只能使用片假名。,
freePlanSongLimitExceeded,曲の追加が無料プランの上限({{count}})を超えています。,添加歌曲超過免費方案限制({{count}})。,
songAdded,曲を追加しました,已添加歌曲,
songUpdated,曲を更新しました,已更新歌曲,
songAddFailed,曲の追加に失敗しました,添加歌曲失敗,
songUpdateFailed,曲の更新に失敗しました,更新歌曲失敗,
duplicateConfirmation,重複確認,重複確認,
songArtistAlreadyExists,{{title}}/{{artist}} は既に存在します。登録しますか？,{{title}}/{{artist}} 已存在。是否註冊？,
cancel,キャンセル,取消,
register,登録する,註冊,
newSongRegistration,新規曲登録,新歌曲註冊,
editScreen,編集画面,編輯畫面,
youtubeUrlPlaceholder,カラオケ音源のYoutube URL,卡拉OK音源的YouTube URL,
detailsInput,詳細入力,詳細輸入,
songFuriganaKatakanaOnly,曲名フリガナ（カタカナのみ）,歌曲拼音（僅限片假名）,
tagsCommaSeparated,タグ (カンマ区切り),標籤（逗號分隔）,
editComplete,編集完了,編輯完成 
